,precision,recall,f1-score,support
alt.atheism,0.5824175824175825,0.3509933774834437,0.4380165289256198,151.0
comp.graphics,0.6047619047619047,0.6287128712871287,0.616504854368932,202.0
comp.os.ms-windows.misc,0.6296296296296297,0.6102564102564103,0.6197916666666666,195.0
comp.sys.ibm.pc.hardware,0.51440329218107,0.6830601092896175,0.5868544600938967,183.0
comp.sys.mac.hardware,0.7639751552795031,0.6,0.6721311475409836,205.0
comp.windows.x,0.8097560975609757,0.772093023255814,0.7904761904761904,215.0
misc.forsale,0.7865853658536586,0.6683937823834197,0.7226890756302521,193.0
rec.autos,0.7,0.6428571428571429,0.6702127659574468,196.0
rec.motorcycles,0.41216216216216217,0.7261904761904762,0.5258620689655172,168.0
rec.sport.baseball,0.8118811881188119,0.7772511848341233,0.7941888619854721,211.0
rec.sport.hockey,0.8983957219251337,0.8484848484848485,0.8727272727272727,198.0
sci.crypt,0.7653061224489796,0.746268656716418,0.7556675062972292,201.0
sci.electronics,0.7116564417177914,0.5742574257425742,0.6356164383561644,202.0
sci.med,0.775,0.7989690721649485,0.7868020304568528,194.0
sci.space,0.7807486631016043,0.7724867724867724,0.776595744680851,189.0
soc.religion.christian,0.42403628117913833,0.9257425742574258,0.5816485225505443,202.0
talk.politics.guns,0.7009803921568627,0.7606382978723404,0.7295918367346939,188.0
talk.politics.mideast,0.7857142857142857,0.7252747252747253,0.7542857142857143,182.0
talk.politics.misc,0.8354430379746836,0.41509433962264153,0.5546218487394958,159.0
talk.religion.misc,0.75,0.022058823529411766,0.04285714285714286,136.0
accuracy,0.6684350132625995,0.6684350132625995,0.6684350132625995,0.6684350132625995
macro avg,0.7021426662091889,0.652454195699484,0.6463570839148469,3770.0
weighted avg,0.7044944893835859,0.6684350132625995,0.6609751846794909,3770.0
